Nederlands,English,Voorbeeld,Les
zich voorstellen,to introduce oneself,Ik zal me even voorstellen.,1
verhuizen naar,to move (house) to,Twee jaar geleden ben ik hierheen verhuisd.,1
inmiddels,by now / meanwhile,Inmiddels voel ik me hier thuis.,1
wennen aan,to get used to,Ik moest wennen aan het tempo.,1
verantwoordelijk voor,responsible for,Ik ben verantwoordelijk voor het ontwerp.,1
ingewikkeld,complicated,Dat klinkt ingewikkeld.,1
erop neerkomen dat,to come down to that,Het komt erop neer dat ik luister.,1
aanspreken,to appeal to,Die baan sprak me erg aan.,1
de laatste tijd,lately,De laatste tijd kook ik vaker.,1
ook al,even though,"Ook al mislukt er iets, ik ga door.",1
afmaken,to finish,Ik moest het ontwerp afmaken.,2
versturen,to send,Ik heb het bestand verstuurd.,2
nadat,after (conjunction),"Nadat ik had gegeten, ging ik werken.",2
bespreken,to discuss,We hebben het plan besproken.,2
voorstellen om te,to propose,Ik stel voor om eerst te testen.,2
het overleg,the meeting,Het overleg duurde een uur.,2
het ergens mee eens zijn,to agree with something,Ik ben het daarmee eens.,2
tevreden,satisfied,Ik was moe maar tevreden.,2
opbouwen,to build up,We gaan de site opnieuw opbouwen.,2
het deel,the part,We testen eerst een klein deel.,2
