Les,Zin,Delen,Vertaling,Tip,DelenB
1,"Ik werk als ontwerper bij een klein bureau.","ik | werk | als ontwerper | bij een klein bureau","I work as a designer at a small agency.","Hoofdzin: de persoonsvorm staat op plaats twee (V2).",
1,"Twee jaar geleden ben ik naar deze stad verhuisd.","twee jaar geleden | ben | ik | naar deze stad | verhuisd","Two years ago I moved to this city.","Een tijdsbepaling vooraan zorgt voor inversie; het deelwoord gaat naar achteren.","ik | ben | twee jaar geleden | naar deze stad | verhuisd"
1,"Ik voel me hier thuis omdat het tempo me bevalt.","ik voel me | hier thuis | omdat het tempo | me | bevalt","I feel at home here because the pace suits me.","Na 'omdat' gaat het werkwoord helemaal naar het eind van de bijzin.",
1,"In mijn vrije tijd zwem ik regelmatig.","in mijn vrije tijd | zwem | ik | regelmatig","In my free time I swim regularly.","Een bepaling vooraan (inversie) of het onderwerp vooraan — beide zijn goed.","ik | zwem | in mijn vrije tijd | regelmatig"
1,"Het komt erop neer dat ik naar de klant luister.","het komt erop neer | dat ik | naar de klant | luister","It comes down to me listening to the client.","'dat' opent een bijzin: het werkwoord staat achteraan.",
2,"Gisteren heb ik een druk overleg gehad.","gisteren | heb | ik | een druk overleg | gehad","Yesterday I had a busy meeting.","Inversie na 'gisteren'; het voltooid deelwoord sluit de zin af.","ik | heb | gisteren | een druk overleg | gehad"
2,"Nadat ik het ontwerp had verstuurd, ben ik naar huis gefietst.","nadat ik | het ontwerp | had verstuurd | ben ik | naar huis gefietst","After I had sent the design, I cycled home.","De bijzin staat voorop, dus de hoofdzin begint met inversie.",
2,"Ik heb voorgesteld om eerst een klein deel te testen.","ik heb voorgesteld | om | eerst een klein deel | te testen","I proposed testing a small part first.","'om … te' met het werkwoord achteraan in de beknopte bijzin.",
2,"Mijn collega's waren het daarmee eens.","mijn collega's | waren | het daarmee | eens","My colleagues agreed with that.","Vaste uitdrukking: het ergens mee eens zijn.",
2,"Volgende week bouwen we de nieuwe site op.","volgende week | bouwen | we | de nieuwe site | op","Next week we are building the new site.","Scheidbaar werkwoord: 'op' gaat naar het eind van de hoofdzin.","we | bouwen | volgende week | de nieuwe site | op"
